name,year,rank,certificate,duration,genre,rating,description
The Shawshank Redemption,1994,1,A,142 min,"
Drama            ",9.3,"
    Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency."
The Godfather,1972,2,A,175 min,"
Crime",9.2,"
    The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son."
The Dark Knight,2008,3,UA,152 min,"
Action",9,"
    When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice."
The Godfather: Part II,1974,4,A,202 min,"
Crime",9,"
    The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate."
The Lord of the Rings: The Return of the King,2003,5,U,201 min,"
Action",8.9,"
    Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring."
Pulp Fiction,1994,6,A,154 min,"
Crime",8.9,"
    The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption."
Schindler's List,1993,7,UA,195 min,"
Biography",8.9,"
    In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis."
12 Angry Men,1957,8,None,96 min,"
Crime",8.9,"
    A jury holdout attempts to prevent a miscarriage of justice by forcing his colleagues to reconsider the evidence."
Inception,2010,9,UA,148 min,"
Action",8.8,"
    A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O."
Fight Club,1999,10,A,139 min,"
Drama            ",8.8,"
    An insomniac office worker and a devil-may-care soapmaker form an underground fight club that evolves into something much, much more."
The Lord of the Rings: The Fellowship of the Ring,2001,11,U,178 min,"
Action",8.8,"
    A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron."
Forrest Gump,1994,12,UA,142 min,"
Drama",8.8,"
    The presidencies of Kennedy and Johnson, the events of Vietnam, Watergate and other historical events unfold through the perspective of an Alabama man with an IQ of 75, whose only desire is to be reunited with his childhood sweetheart."
"Il buono, il brutto, il cattivo",1966,13,A,161 min,"
Western            ",8.8,"
    A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery."
Hamilton,2020,14,12+,160 min,"
Biography",8.7,"
    The real life of one of America's foremost founding fathers and first Secretary of the Treasury, Alexander Hamilton. Captured live on Broadway from the Richard Rodgers Theater with the original Broadway cast."
The Lord of the Rings: The Two Towers,2002,15,U,179 min,"
Action",8.7,"
    While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard."
The Matrix,1999,16,UA,136 min,"
Action",8.7,"
    A computer hacker learns from mysterious rebels about the true nature of his reality and his role in the war against its controllers."
Goodfellas,1990,17,A,146 min,"
Biography",8.7,"
    The story of Henry Hill and his life in the mob, covering his relationship with his wife Karen Hill and his mob partners Jimmy Conway and Tommy DeVito in the Italian-American crime syndicate."
Star Wars: Episode V - The Empire Strikes Back,1980,18,U,124 min,"
Action",8.7,"
    After the Rebels are brutally overpowered by the Empire on the ice planet Hoth, Luke Skywalker begins Jedi training with Yoda, while his friends are pursued by Darth Vader and a bounty hunter named Boba Fett all over the galaxy."
One Flew Over the Cuckoo's Nest,1975,19,A,133 min,"
Drama            ",8.7,"
    A criminal pleads insanity and is admitted to a mental institution, where he rebels against the oppressive nurse and rallies up the scared patients."
Gisaengchung,2019,20,A,132 min,"
Comedy",8.6,"
    Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan."
Interstellar,2014,21,UA,169 min,"
Adventure",8.6,"
    A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival."
Cidade de Deus,2002,22,A,130 min,"
Crime",8.6,"
    In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin."
Sen to Chihiro no kamikakushi,2001,23,U,125 min,"
Animation",8.6,"
    During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches, and spirits, and where humans are changed into beasts."
Saving Private Ryan,1998,24,15+,169 min,"
Drama",8.6,"
    Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action."
The Green Mile,1999,25,A,189 min,"
Crime",8.6,"
    The lives of guards on Death Row are affected by one of their charges: a black man accused of child murder and rape, yet who has a mysterious gift."
La vita è bella,1997,26,U,116 min,"
Comedy",8.6,"
    When an open-minded Jewish librarian and his son become victims of the Holocaust, he uses a perfect mixture of will, humor, and imagination to protect his son from the dangers around their camp."
Se7en,1995,27,A,127 min,"
Crime",8.6,"
    Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives."
The Silence of the Lambs,1991,28,A,118 min,"
Crime",8.6,"
    A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims."
Star Wars,1977,29,U,121 min,"
Action",8.6,"
    Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader."
Seppuku,1962,30,None,133 min,"
Action",8.6,"
    When a ronin requesting seppuku at a feudal lord's palace is told of the brutal suicide of another ronin who previously visited, he reveals how their pasts are intertwined - and in doing so challenges the clan's integrity."
